[12/Dec/2019:19:08:40] Proxy launched
[12/Dec/2019:19:08:40] Creating server socket...
[12/Dec/2019:19:08:40] Binding socket to port 8080...
[12/Dec/2019:19:08:40] Listening for incoming requests...

[12/Dec/2019:19:08:40] Accepted a request from client!
[12/Dec/2019:19:08:40] Accepted a request from client!
[12/Dec/2019:19:08:40] Accepted a request from client!
[12/Dec/2019:19:08:41] Accepted a request from client!
[12/Dec/2019:19:08:43] Accepted a request from client!
[12/Dec/2019:19:08:43] Accepted a request from client!
[12/Dec/2019:19:08:43] Accepted a request from client!
[12/Dec/2019:19:08:43] Accepted a request from client!
[12/Dec/2019:19:08:43] Accepted a request from client!
[12/Dec/2019:19:08:43] Accepted a request from client!
[12/Dec/2019:19:08:43] Accepted a request from client!
[12/Dec/2019:19:08:44] Accepted a request from client!
[12/Dec/2019:19:08:44] Accepted a request from client!
[12/Dec/2019:19:08:44] Accepted a request from client!
[12/Dec/2019:19:08:44] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:45] Accepted a request from client!
[12/Dec/2019:19:08:46] Accepted a request from client!
[12/Dec/2019:19:08:46] Accepted a request from client!
[12/Dec/2019:19:08:46] Accepted a request from client!
[12/Dec/2019:19:08:47] Accepted a request from client!
[12/Dec/2019:19:08:47] Accepted a request from client!
[12/Dec/2019:19:08:47] Accepted a request from client!
[12/Dec/2019:19:08:47] Accepted a request from client!
[12/Dec/2019:19:08:47] Accepted a request from client!
[12/Dec/2019:19:08:47] Accepted a request from client!
[12/Dec/2019:19:08:48] Accepted a request from client!
[12/Dec/2019:19:08:48] Accepted a request from client!
[12/Dec/2019:19:08:48] Accepted a request from client!
[12/Dec/2019:19:08:48] Accepted a request from client!
[12/Dec/2019:19:08:48] Accepted a request from client!
[12/Dec/2019:19:08:49] Accepted a request from client!
[12/Dec/2019:19:08:51] Accepted a request from client!
[12/Dec/2019:19:08:51] Accepted a request from client!
[12/Dec/2019:19:08:51] Accepted a request from client!
[12/Dec/2019:19:08:51] Accepted a request from client!
[12/Dec/2019:19:08:52] Accepted a request from client!
[12/Dec/2019:19:08:52] Accepted a request from client!
[12/Dec/2019:19:08:52] Accepted a request from client!
[12/Dec/2019:19:08:52] Accepted a request from client!
[12/Dec/2019:19:08:52] Accepted a request from client!
[12/Dec/2019:19:08:52] Accepted a request from client!
[12/Dec/2019:19:08:52] Accepted a request from client!
[12/Dec/2019:19:08:52] Accepted a request from client!
[12/Dec/2019:19:08:53] Accepted a request from client!
[12/Dec/2019:19:08:53] Accepted a request from client!
[12/Dec/2019:19:08:53] Accepted a request from client!
[12/Dec/2019:19:08:53] Accepted a request from client!
[12/Dec/2019:19:08:54] Accepted a request from client!
[12/Dec/2019:19:08:54] Accepted a request from client!
[12/Dec/2019:19:08:56] Accepted a request from client!
[12/Dec/2019:19:08:59] Accepted a request from client!
[12/Dec/2019:19:09:06] Accepted a request from client!
[12/Dec/2019:19:09:06] Accepted a request from client!
[12/Dec/2019:19:09:08] Accepted a request from client!
[12/Dec/2019:19:09:09] Accepted a request from client!
[12/Dec/2019:19:09:11] Accepted a request from client!
[12/Dec/2019:19:09:12] Accepted a request from client!
[12/Dec/2019:19:09:12] Accepted a request from client!
[12/Dec/2019:19:09:12] Accepted a request from client!
[12/Dec/2019:19:09:12] Accepted a request from client!
[12/Dec/2019:19:09:12] Accepted a request from client!
[12/Dec/2019:19:09:12] Accepted a request from client!
[12/Dec/2019:19:09:13] Accepted a request from client!
[12/Dec/2019:19:09:15] Accepted a request from client!
[12/Dec/2019:19:09:16] Accepted a request from client!
[12/Dec/2019:19:09:17] Accepted a request from client!
[12/Dec/2019:19:09:20] Accepted a request from client!
[12/Dec/2019:19:09:24] Accepted a request from client!
[12/Dec/2019:19:09:38] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:39] Accepted a request from client!
[12/Dec/2019:19:09:42] Accepted a request from client!
[12/Dec/2019:19:09:42] Accepted a request from client!
[12/Dec/2019:19:09:42] Accepted a request from client!
[12/Dec/2019:19:09:42] Accepted a request from client!
[12/Dec/2019:19:09:46] Accepted a request from client!
[12/Dec/2019:19:09:46] Accepted a request from client!
[12/Dec/2019:19:09:51] Accepted a request from client!
[12/Dec/2019:19:09:55] Accepted a request from client!
[12/Dec/2019:19:09:58] Accepted a request from client!
[12/Dec/2019:19:10:00] Accepted a request from client!
[12/Dec/2019:19:10:06] Accepted a request from client!
[12/Dec/2019:19:10:07] Accepted a request from client!
[12/Dec/2019:19:10:27] Accepted a request from client!
[12/Dec/2019:19:10:27] Accepted a request from client!
[12/Dec/2019:19:10:27] Accepted a request from client!
[12/Dec/2019:19:10:27] Accepted a request from client!
[12/Dec/2019:19:10:27] Accepted a request from client!
[12/Dec/2019:19:10:27] Accepted a request from client!
[12/Dec/2019:19:10:27] Accepted a request from client!
[12/Dec/2019:19:10:35] Accepted a request from client!
[12/Dec/2019:19:10:35] Accepted a request from client!
[12/Dec/2019:19:10:35] Accepted a request from client!
[12/Dec/2019:19:10:35] Accepted a request from client!
[12/Dec/2019:19:10:36] Accepted a request from client!
[12/Dec/2019:19:10:36] Accepted a request from client!
[12/Dec/2019:19:10:37] Accepted a request from client!
[12/Dec/2019:19:10:39] Accepted a request from client!
[12/Dec/2019:19:10:45] Accepted a request from client!
[12/Dec/2019:19:10:45] Accepted a request from client!
[12/Dec/2019:19:10:45] Accepted a request from client!
[12/Dec/2019:19:10:45] Accepted a request from client!
[12/Dec/2019:19:10:51] Accepted a request from client!
[12/Dec/2019:19:10:51] Accepted a request from client!
[12/Dec/2019:19:10:51] Accepted a request from client!
[12/Dec/2019:19:10:53] Accepted a request from client!
[12/Dec/2019:19:10:53] Accepted a request from client!
[12/Dec/2019:19:10:57] Accepted a request from client!
[12/Dec/2019:19:11:00] Accepted a request from client!
[12/Dec/2019:19:11:00] Accepted a request from client!
[12/Dec/2019:19:11:00] Accepted a request from client!
[12/Dec/2019:19:11:00] Accepted a request from client!
[12/Dec/2019:19:11:00] Accepted a request from client!
[12/Dec/2019:19:11:00] Accepted a request from client!
[12/Dec/2019:19:11:10] Accepted a request from client!
[12/Dec/2019:19:11:22] Accepted a request from client!
[12/Dec/2019:19:11:37] Accepted a request from client!
[12/Dec/2019:19:11:51] Accepted a request from client!
[12/Dec/2019:19:11:53] Accepted a request from client!
[12/Dec/2019:19:11:54] Accepted a request from client!
[12/Dec/2019:19:11:59] Accepted a request from client!
[12/Dec/2019:19:12:05] Accepted a request from client!
[12/Dec/2019:19:12:22] Accepted a request from client!
[12/Dec/2019:19:13:01] Accepted a request from client!
[12/Dec/2019:19:13:21] Accepted a request from client!
[12/Dec/2019:19:13:23] Accepted a request from client!
[12/Dec/2019:19:13:36] Accepted a request from client!
[12/Dec/2019:19:13:52] Accepted a request from client!
[12/Dec/2019:19:13:52] Accepted a request from client!
[12/Dec/2019:19:14:04] Accepted a request from client!
[12/Dec/2019:19:14:36] Accepted a request from client!
[12/Dec/2019:19:14:45] Accepted a request from client!
[12/Dec/2019:19:14:45] Accepted a request from client!
[12/Dec/2019:19:14:57] Accepted a request from client!
[12/Dec/2019:19:15:09] Accepted a request from client!
[12/Dec/2019:19:15:18] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:19] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:20] Accepted a request from client!
[12/Dec/2019:19:15:21] Accepted a request from client!
[12/Dec/2019:19:15:25] Accepted a request from client!
[12/Dec/2019:19:15:25] Accepted a request from client!
[12/Dec/2019:19:15:25] Accepted a request from client!
[12/Dec/2019:19:15:25] Accepted a request from client!
[12/Dec/2019:19:15:26] Accepted a request from client!
[12/Dec/2019:19:15:26] Accepted a request from client!
[12/Dec/2019:19:15:26] Accepted a request from client!
[12/Dec/2019:19:15:26] Accepted a request from client!
[12/Dec/2019:19:15:26] Accepted a request from client!
